"Bucket","File","Status","Copyrights","License","Notes"
"rust","src/rust/crates/fceux11-formats/src/fds.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-formats/src/ines.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-formats/src/ines/ines_data.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-formats/src/lib.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-formats/src/movie.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-formats/src/nsf.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-formats/src/unif.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-formats/src/vsuni.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-lua/src/bindings/bit.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-lua/src/bindings/debugger.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/emu.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/gui.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-lua/src/bindings/input.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-lua/src/bindings/joypad.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/memory.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/mod.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-lua/src/bindings/movie.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/ppu.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/rom.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/savestate.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/sound.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/bindings/zapper.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/ffi_stubs.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-lua/src/lib.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-media/src/drawing.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-media/src/fcoeffs.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-media/src/filter.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-media/src/lib.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-media/src/palette.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-media/src/video.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-media/src/wave.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-utils/src/convert_utf.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-utils/src/crc32.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-utils/src/general.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-utils/src/guid.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-utils/src/lib.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-utils/src/md5.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-utils/src/os_utils.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-utils/src/profiler.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-utils/src/slice.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-utils/src/timestamp.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/build.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/adapter/direct.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/adapter/mod.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/adapter/subprocess.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/adapter/trait_def.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/cli/args.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/cli/mod.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/cli/run_direct.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/cli/run_report.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/cli/run_subprocess.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/core/config.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/core/error.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/core/mod.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/lib.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/main.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/manifest/filter.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/manifest/mod.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/manifest/parser.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/manifest/schema.rs","New","","GPLv2+",""
